,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
0,2,"IRA GOLDMAN AND WILLIAMS, LLP",90085,Ch Lilian 09 Ladouys St Este,23.86,36.99,750,8,190.88,16,591.84,258.93,1.78,27.08,400.96,67.75,2.0,3.1,23.86,Small,-190.88
1,388,ATLANTIC IMPORTING COMPANY,2119,Glendalough 13 Yr Sngle Malt,66.4,89.99,750,39,2589.6,87,7459.13,4799.44,68.61,211.74,4869.53,65.28,2.23,2.88,66.39999999999999,Medium,-3187.2000000000003
2,388,ATLANTIC IMPORTING COMPANY,7241,Glendalough Poitin Shry Cask,20.68,34.99,750,31,641.08,98,3039.02,2449.19,10.82,211.74,2397.94,78.91,3.16,4.74,20.68,Medium,-1385.56
3,480,BACARDI USA INC,129,Grey Goose L'Orange Vodka,24.99,31.99,1000,4,99.96,7,221.93,189.94,7.35,89286.27,121.97,54.96,1.75,2.22,24.99,Small,-74.97
4,480,BACARDI USA INC,540,Bacardi Pineapple Fusion,0.72,0.99,50,352,253.44,4452,4407.48,1898.82,229.43,89286.27,4154.04,94.25,12.65,17.39,0.72,Medium,-2952.0
5,480,BACARDI USA INC,805,B & B Liqueur Dom,26.39,32.99,1000,10,263.9,12,395.88,263.92,12.6,89286.27,131.98,33.34,1.2,1.5,26.389999999999997,Small,-52.78
6,480,BACARDI USA INC,810,Bacardi Black Razz,7.19,11.99,750,2283,16414.77,3001,36217.99,23896.51,2364.71,89286.27,19803.22,54.68,1.31,2.21,7.19,Large,-5162.42
7,480,BACARDI USA INC,973,Bacardi 1873 Solera Rum,11.9,19.99,750,21,249.9,154,2308.46,1379.08,121.38,89286.27,2058.56,89.17,7.33,9.24,11.9,Small,-1582.7
8,480,BACARDI USA INC,1020,B & B Dom VAP,18.11,28.99,750,2,36.22,52,1319.48,969.62,41.01,89286.27,1283.26,97.25,26.0,36.43,18.11,Small,-905.5
9,480,BACARDI USA INC,1047,Angels Envy Hanover Chop,35.38,45.99,750,6,212.28,6,275.94,137.97,4.73,89286.27,63.66,23.07,1.0,1.3,35.38,Small,0.0
10,480,BACARDI USA INC,1414,Bacardi 8 Gift Set,14.28,23.99,750,5,71.4,35,869.65,319.87,27.57,89286.27,798.25,91.79,7.0,12.18,14.280000000000001,Small,-428.4
11,480,BACARDI USA INC,1757,Aberfeldy 21 Yr Single Malt,116.78,159.99,750,14,1634.92,13,2079.87,799.95,10.24,89286.27,444.95,21.39,0.93,1.27,116.78,Small,116.78
12,480,BACARDI USA INC,2123,Angel's Envy Rye,57.96,79.99,750,295,17098.2,299,23917.01,18077.74,235.8,89286.27,6818.81,28.51,1.01,1.4,57.96,Medium,-231.84
13,480,BACARDI USA INC,2184,Bonnie Rose Orange Peel,11.36,19.99,750,290,3294.4,457,6866.43,2909.07,360.11,89286.27,3572.03,52.02,1.58,2.08,11.36,Medium,-1897.12
14,480,BACARDI USA INC,2200,Bonnie Rose Spiced Apple,10.78,19.99,750,269,2899.82,421,6339.79,2892.09,331.84,89286.27,3439.97,54.26,1.57,2.19,10.780000000000001,Medium,-1638.56
15,480,BACARDI USA INC,2502,Dewars Wh Label & Honey 2 Pk,26.92,34.99,750,3,80.76,98,3429.02,2204.37,77.27,89286.27,3348.26,97.64,32.67,42.46,26.92,Small,-2557.4
16,480,BACARDI USA INC,2679,Dewars Highlander Honey,14.28,22.99,750,226,3227.28,1920,38910.8,27151.63,1513.76,89286.27,35683.52,91.71,8.5,12.06,14.280000000000001,Medium,-24190.32
17,480,BACARDI USA INC,2863,The Deveron 12 Yr Scotch,34.34,44.99,750,183,6284.22,166,7753.34,6953.51,131.03,89286.27,1469.12,18.95,0.91,1.23,34.34,Medium,583.7800000000001
18,480,BACARDI USA INC,2916,Royal Brackla 12 Yr Scotch,47.05,63.99,750,112,5269.6,102,6686.98,6622.99,80.57,89286.27,1417.38,21.2,0.91,1.27,47.050000000000004,Medium,470.5
19,480,BACARDI USA INC,2933,Aultmore 12 Yr Scotch,38.88,48.99,750,195,7581.6,278,14014.22,12725.48,219.41,89286.27,6432.62,45.9,1.43,1.85,38.88,Medium,-3227.0400000000004
20,480,BACARDI USA INC,3016,Bombay Sapphire East Gin,14.59,19.99,750,4876,71140.84,3928,81949.72,55064.76,3095.64,89286.27,10808.88,13.19,0.81,1.15,14.59,Large,13831.32
21,480,BACARDI USA INC,3185,Grey Goose L'Orange Vodka,35.33,46.99,1750,33,1165.89,217,10196.83,7941.31,398.94,89286.27,9030.94,88.57,6.58,8.75,35.330000000000005,Medium,-6500.719999999999
22,480,BACARDI USA INC,3199,Grey Goose La Poire Vodka,34.3,46.99,1750,69,2366.7,160,7518.4,6014.72,294.19,89286.27,5151.7,68.52,2.32,3.18,34.3,Medium,-3121.2999999999997
23,480,BACARDI USA INC,3344,Bombay Sapphire Gin,14.49,19.99,750,23798,344833.02,16701,349650.99,160185.76,13151.72,89286.27,4817.97,1.38,0.7,1.01,14.49,Large,102835.53
24,480,BACARDI USA INC,3475,Cazadores Anejo Tequila,22.38,29.99,750,7,156.66,13,389.87,239.92,10.25,89286.27,233.21,59.82,1.86,2.49,22.38,Small,-134.28
25,480,BACARDI USA INC,3611,Grey Goose La Poire Vodka,5.5,14.99,375,30,165.0,22,329.78,29.98,8.66,89286.27,164.78,49.97,0.73,2.0,5.5,Medium,44.0
26,480,BACARDI USA INC,3613,Bacardi Reserva Limitada,67.66,89.99,750,2,135.32,29,2609.71,2069.77,22.86,89286.27,2474.39,94.81,14.5,19.29,67.66,Small,-1826.82
27,480,BACARDI USA INC,3615,Bacardi Anejo Mexican Rum,11.02,18.99,750,92,1013.84,141,1972.59,601.57,111.05,89286.27,958.75,48.6,1.53,1.95,11.02,Medium,-539.98
28,480,BACARDI USA INC,3778,Grey Goose Le Citron Vodka,34.3,46.99,1750,25,857.5,184,8646.16,6437.63,338.25,89286.27,7788.66,90.08,7.36,10.08,34.3,Medium,-5453.7
29,480,BACARDI USA INC,4025,Bacardi Oakheart Spiced Rum,1.37,1.79,50,3197,4379.89,3399,6084.21,2808.51,174.96,89286.27,1704.32,28.01,1.06,1.39,1.37,Large,-276.74
30,480,BACARDI USA INC,4028,Bacardi Artic Grape Rum,7.99,11.99,750,12,95.88,14,195.86,27.98,11.02,89286.27,99.98,51.05,1.17,2.04,7.989999999999999,Small,-15.98
31,480,BACARDI USA INC,4042,Bacardi Dragon Berry,0.72,0.99,50,233,167.76,3018,2987.82,1353.33,155.26,89286.27,2820.06,94.39,12.95,17.81,0.72,Medium,-2005.1999999999998
32,480,BACARDI USA INC,4066,Bacardi Oakheart Spiced Rum,12.85,21.99,1750,9852,126598.2,7039,144660.61,94034.48,12936.68,89286.27,18062.41,12.49,0.71,1.14,12.85,Large,36147.049999999996
33,480,BACARDI USA INC,4160,Bacardi Gran Reserva Maestro,15.5,24.99,750,81,1255.5,420,8970.8,6172.07,331.16,89286.27,7715.3,86.0,5.19,7.15,15.5,Medium,-5254.5
34,480,BACARDI USA INC,4200,Bacardi Grand Melon,7.68,11.99,750,1578,12119.04,2047,23511.53,15504.85,1613.12,89286.27,11392.49,48.45,1.3,1.94,7.680000000000001,Large,-3601.92
35,480,BACARDI USA INC,4214,Bacardi O Orange Rum,7.57,11.99,750,112,847.84,88,1161.12,541.6,69.32,89286.27,313.28,26.98,0.79,1.37,7.57,Medium,181.68
36,480,BACARDI USA INC,4221,Bacardi Gold Rum Traveler,12.94,17.99,1750,9143,118310.42,10058,181314.42,80069.1,18481.8,89286.27,63004.0,34.75,1.1,1.53,12.94,Large,-11840.1
37,480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750,68294,967725.98,69680,1224232.2,165625.24,128028.93,89286.27,256506.22,20.95,1.02,1.27,14.17,Large,-19639.62
38,480,BACARDI USA INC,4246,Bacardi Superior Rum,4.22,5.49,375,31200,131664.0,19944,137922.56,62913.18,7836.88,89286.27,6258.56,4.54,0.64,1.05,4.22,Large,47500.32
39,480,BACARDI USA INC,4252,Bacardi Limon Rum,0.77,0.99,50,4290,3303.3,7978,7898.22,2677.95,413.32,89286.27,4594.92,58.18,1.86,2.39,0.77,Large,-2839.76
40,480,BACARDI USA INC,4258,Bacardi Mango Fusion,7.35,11.99,750,7365,54132.75,4864,55661.36,36500.7,3832.62,89286.27,1528.61,2.75,0.66,1.03,7.35,Large,18382.35
41,480,BACARDI USA INC,4259,Castillo Spiced Rum,7.74,9.99,1750,89,688.86,317,3414.83,771.32,582.43,89286.27,2725.97,79.83,3.56,4.96,7.74,Medium,-1764.72
42,480,BACARDI USA INC,4290,Bacardi Tangerine Rum,7.87,13.99,750,611,4808.57,1031,11227.69,7705.03,812.56,89286.27,6419.12,57.17,1.69,2.33,7.869999999999999,Large,-3305.4
43,480,BACARDI USA INC,4304,Bacardi Mango Fusion,0.79,0.99,50,401,316.79,3457,3422.43,1614.69,177.77,89286.27,3105.64,90.74,8.62,10.8,0.79,Medium,-2414.2400000000002
44,480,BACARDI USA INC,4316,Bacardi Peach Red Rum,7.24,9.99,750,24,173.76,24,287.76,11.99,18.9,89286.27,114.0,39.62,1.0,1.66,7.239999999999999,Small,0.0
45,480,BACARDI USA INC,4319,Bacardi Limon Traveler,7.29,9.99,750,2,14.58,41,409.59,309.69,32.31,89286.27,395.01,96.44,20.5,28.09,7.29,Small,-284.31
46,480,BACARDI USA INC,4331,Bacardi Dragon Berry Trav,7.14,9.99,750,12,85.68,70,699.3,569.43,55.2,89286.27,613.62,87.75,5.83,8.16,7.140000000000001,Small,-414.12
47,480,BACARDI USA INC,4357,Bacardi Oakheart Spiced Trav,7.46,9.99,750,1,7.46,40,399.6,369.63,31.58,89286.27,392.14,98.13,40.0,53.57,7.46,Small,-290.94
48,480,BACARDI USA INC,4379,Bacardi Coconut,0.73,0.99,50,170,124.1,5506,5450.94,2421.54,283.68,89286.27,5326.84,97.72,32.39,43.92,0.73,Medium,-3895.2799999999997
49,480,BACARDI USA INC,4881,Bacardi Twin Pack 2/750mls,14.81,19.99,750,846,12529.26,3317,65518.83,24021.91,2613.36,89286.27,52989.57,80.88,3.92,5.23,14.81,Large,-36595.51
50,480,BACARDI USA INC,4903,Bacardi Superior Rum,2.87,3.99,200,3300,9471.0,9939,39656.61,12811.89,2087.19,89286.27,30185.61,76.12,3.01,4.19,2.87,Large,-19053.93
